company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
利富高（天津）精密树脂制品有限公司,Parts,S(小型),33366.06,2010-01-06,True,,-9.2484,-3.7268
爱德克斯（天津）汽车零部件有限公司,Parts,M(中型),119377.64,2004-02-27,True,,6.2793,10.8853
天津津河电工有限公司,Parts,S(小型),28863.56,1996-03-29,True,,-9.0548,-1.6691
天津丰津汽车传动部件有限公司,Parts,M(中型),198854.55,1995-12-25,True,,15.8737,-7.1207
天津鹤立汽车零部件有限公司,Parts,S(小型),74610.13,2012-10-12,True,,-0.739,17.9572
天津三五汽车部件有限公司,Parts,M(中型),399599.43,2003-04-08,True,,15.7517,-8.2876
一汽丰田发动机（天津）有限公司,Parts,L(大型),502415.24,1996-05-16,True,,-11.968,1.3202
天津双协机械工业有限公司,Parts,M(中型),227508.19,2002-02-01,True,,-11.5988,-2.0945
天津丰田合成有限公司,Parts,M(中型),195775.24,1995-12-22,True,,16.3527,-6.6569
丰田合成星光（天津）汽车部品有限公司,Parts,S(小型),28594.12,1994-01-08,True,,-7.7616,1.3637
捷太格特汽车部件（天津）有限公司,Parts,S(小型),24255.62,2003-07-11,True,,5.4147,-13.7026
天津环渤海汽车车身制造有限公司,Parts,S(小型),34436.01,2004-04-30,True,,-8.6368,1.7778
天津爱帝力亚汽车部件有限公司,Parts,S(小型),91221.16,2007-11-14,True,,7.9942,-16.9676
天津三国有限公司,Battery/Motor,S(小型),33646.44,1994-01-25,True,,5.3107,-13.047
天津博慧汽车部件有限公司,OEM,XS(微型),10263.92,2018-08-22,True,,-11.9954,-2.7617
天津普天单向器有限公司,Parts,S(小型),62003.92,2007-04-04,True,,2.8317,11.691
申友（天津）汽车零部件有限公司,Battery/Motor,XS(微型),8277.46,2016-12-15,True,,-3.6104,14.2026
北方新兴（天津）汽车部件有限公司,OEM,S(小型),95560.08,2013-03-14,True,,8.6665,-15.0537
天津永焕汽车配件有限公司,Parts,S(小型),94135.14,2016-09-20,True,,11.2712,-10.0608
天津市益中汽车安全带有限公司,Parts,XS(微型),7088.56,1981-09-01,True,,7.1729,-12.5728
天津安骏挂车制造有限公司,Parts,S(小型),44523.76,1995-09-25,True,,15.732,-7.8716
天津铁鹰车辆装备有限公司,Electronics,S(小型),32458.98,2016-08-23,True,,3.1133,9.0684
天津大兴汽车配件有限公司,Parts,S(小型),31631.88,2005-08-25,True,,6.3642,-16.9459
